name_scans, frequency
SAGFLAIRT1,146
DIFUSIONB1000,138
AXIAL3DC,130
AXIALFLAIRT2,130
AXIALGRE,122
AXIT2,68
AXIT2FSE,65
CORFLAIRT2,41
SAGFLAIRT2,41
ASSETCal,34
SAGSTIR,19
AxDWI1000b,18
AXIT2DPFSE,17
AXIDPT2,16
CORFRFSET2,16
SAGT1,14
COR3DEPILEPSIAIR,14
CORT2TEMPORALES,13
SAGT1FSE,12
AXMERGE,11
OblT13DFAT,10
SAGFSET2,10
CORIRT13D,9
SAGT1GAD,9
SAGT2,9
LOCALIZADOR,8
SAGT1FSEGAD,7
CORT2,4
SAGT1FSEC,4
AXIALT2GRE,3
AXGRET2,3
LOCCEREBRAL,3
LOCCERVICAL,3
AXIALT2,3
CORONALFLAIRT2,3
SAGT1C,2
AXT2FATSAT,2
AXIALGRET2,2
AXT1FS,2
AXIINFATC,2
AXIFRFSET2,2
SAGT2FRFSE,2
OblT13DFATc,2
CORT1FSE,2
AXIT1FSE,1
AXIT1,1
AXIINFAT,1
CORT1,1
AXIFIESTA,1
AxPROBESVPRESS35TES,1
SAGT2FSE,1
SAGFRFSET2,1
AXIDPFSE,1
corT1fatsat,1
LOC3PLANOS,1
AXIAL3D,1
AxPROBESVPRESS144TES,1
AXIDP,1
CORT1FSC,1
CORT1GAD,1
