name_scans, frequency
SAGITAL3DT1,1
SagT1MEMPGD,2
DWSSH,10
AXIALGD,1
T1SESAG,26
SAGITALT1CERV,4
CorT2FSE,2
GADOTRACLEAR,8
AXIAL3DT1FastSPGR,1
MultiPlanarReconstructionMPROb_Ax_SI_Average_sp12_th,1
ApparentDiffusionCoefficientmm2s,13
T1SETRAGD,1
TRATSET2SENSE,5
SAGITALSTIR,1
ToF3Dmultislab_MIP_TRA,1
SAGT1DORSOLUMBAR,1
SAGREFORMAT,1
AXIAL3DBRAVONAVEGADORCTE,14
MobiViewGADOSPIRSAG,1
CORONALT1GD,4
VolumeRPS,9
T1W_SE,9
dRegDWI_ogSENSE,1
AxFRFSET2ASSET,9
TRA,1
RegDWI_ogSENSE,1
DIFUSIN,22
AXIALT1CTE,1
T2TSECORCLEAR,19
SAGT1fsDORgd,1
sB1000,26
GADO,3
axialT1W_3D_TFE_32chSHCSENSE,1
AxGrT2,5
EPIDIFUSIONTRAb01000_ADC,1
CORT2HRlesion,2
AxFRFSET2ASSET40cortes,2
SAGITALT1GDCEREBRAL,1
PILOT3P,1
SAGITALT1TSEIPAT2_S11_DIS2D,1
SAGITALT2FLAIR,3
DIFUSION,7
DWI,40
SAGITALT1SE,4
TRAT13DGD,8
SAGITALT1SEgd,1
SagT1MEMP,3
RegDWIHRSENSE,4
SAGITALT2IPAT,2
AxFSPGR3DC,12
LOC,2
Ax3DFSPGRFAME,1
isoRegDWIHRSENSE,4
SAGGADOLINIO,2
SAGITALT1FSTSEDORS,1
AXT1W_SE,1
sagitalT1W_3D_TFE_32chSHCSENSE,1
T1SPIRD7,1
TRANSVERSAL,1
AXIALGRT2,6
Ax2DMERGE,2
GADOTRA,2
WILLIS,1
CRANEOONCOGADOAXIALTRASE4891590,1
SAGITALT2IPATDORS,2
T13DTRAGD,1
CRANEOONCOT2FFETRATRAFFE8563515,1
SAGITALT1FSCERV,1
T1TRSGD,1
SAGITALT2ERV,1
T2FLAIRCOR,1
GADOAX,2
CORONALT2FLAIR,12
ApparentDiffusionCoefficientmms,19
T2W_3D_DRIVECLEAR,2
sT1W_3D_TFE_32chSHC,1
AxT2FLAIR,4
CORGADOLINIO,2
SagT1DORSOLUMBAR,1
SAGT1GD,3
T1GDTRACLEAR,1
SAgT1FSgdCERV,1
AXIALFLAIR,4
coronalT1W_3D_TFE_32chSHCSENSE,1
AXFSET2,14
AXGD,1
FLAIR_longTR,10
SagT2frFSE,2
DIFUSIONB1000,2
T1GDTRA,2
DPT2TSETRA27122512,1
AxT1PERFUSION,2
SagT1SE,3
CORONALREFORMAT,1
AXIALT1SEGD,1
SAGSTIRCERV,1
NEURONAVEGADOR,28
AXT2,1
dADC,26
DWI_og,1
PosDisp10SAGITALT2IPAT2,1
sag3dt1,9
SAGGR3DT1,4
COR,2
SAGITALT1FSTSEDORSGD,1
SAGITALFSET2DORSAL,1
ARTERIALFL3D_SUB_MIP_SAG,1
MobiViewT2W_TSE,2
AxT1SE303CTE,1
SAGITALT1TSECTE,1
T2GRETRA,23
3plT2FGRES,4
sDWSSh,10
AxT1hguv,1
CRANEOONCOT2TSECORCORTSE579212090,3
T13DTRA,8
AXIALT1PERFUSION,21
T1TRAGD,2
TRA_FLAIR,6
LOC3P,2
T1SEGD,16
T1CORGD,1
3plT2FGREXL,12
CORT1SE,2
SAGITALSTIRDORS,2
AXIAL3DT1IR,1
SAGT2DORSOLUMBAR,1
LUMBARGADO,1
EPIDIFUSIONTRAb01000,1
T2WTSETRASENSE,2
SAGSTIR,2
SagT2DORSOLUMBAR,1
PILOTOCERVICO,2
T1SEAXIAL,4
AXIALT2ME2DIPAT,1
SAGITALFSET1DORSALFS,1
SAGITALSTIRCERV,3
sDIFUSIONSENSE,8
AXIALFSET2,1
T1W3DGADO,2
CORONALT1VACIO,1
SAGFSPGR3D,1
