name_scans, frequency
axt1fs,1
coronalT1sacroiliacas,1
AXSTIRpelvis,1
AXIALPDFSD,1
PosDisp3SAGITALT2PAT2LUMB,80
AXIALT1,6
AXIALT2AXIAL,1
AXIALT2bloquet11,1
SAGITALGRADIENTEI,3
AXIALT2DORSBLOQUE,1
SAGITALSTIRCERV,5
sagPDFSIZQ,1
SAGITALT1FSLUMB,1
STIR_AXIAL,2
AXIALT1amplio,1
SAGITALT1FS,2
DIFUSIONcerv,1
SAGT2CERVICAL,4
SAGITALSTIRDORSAL,1
axt1fsdorsalc,1
PosDisp9AXIALT2DISCOSLUMB,2
SAGITALT2OBLICUOI,3
SAGITALFRFSEXLT2,6
SAGT1CERVICALGD,1
AXIALT2DISCBASICO,447
axialSTIRIPAT2LUMB,1
axialt2sacrocoxis,1
SAGITALSTIR,488
PosDisp4SAGITALT2LUMBAR,1
CORONALT2,2
AXT1BLOQUE,2
T1SESAGARTEFACTOSGD,1
PosDisp10SAGITALT2IPATDORS,1
SAGDIFU,2
SAGITALSTIRIPAT2LUMB,197
AXIALDPKING,4
SAGITALT1TSEIPAT,1
AXIALT2DORSAL,2
AXIALT2BLOQUELUMB,1
SAGDIFUlumbar,1
PosDisp4AXIALT2LUMB,1
AXIALINFSBLOQUE,8
HASTET2SAGITAL,1
SAGITALINFSGD,1
coronalSTIRIPAT2LUMB,1
SAGITALT1D,1
SAGITALT1TSEIPAT2,3
axT1fsLUMBARc,1
AXIALINFS,9
SAGT1fsDORSAL,1
AXIALT2DISClumbar,2
SAGITALDPCADIZQ,1
CORT1,1
PosDisp5AXIALT2AXIAL,1
SAGITALSTIRDORS,4
SAGITALT2DORSAL,1
AXDPsacroiliacas,2
cor,1
coronalINFSgd,2
TSEAXIALARTEFACTOS,7
CORONALT1FSGD,1
SAGITALT1LUMBAR,1
DIFUSIONdorsal,1
AXIALT1TSEIPAT2LUMB,3
T1CORTSE320,1
SAGITALGRADIENTED,3
SAGITALDPCADDER,1
AXIALSTIR,11
PosDisp10AXIALT2DISCOSLUMB,1
CORONALPDFSD,1
PosDisp9AXIALT2BLOQUE,1
SAGITALDPFSCADDER,3
PosDisp6AXIALDPKINGLUMB,3
PosDisp2SAGITALT2PAT2,1
PosDisp7SAGITALT2IPATDORS,1
SAGITALT1FSGDLUMB,1
SAGITALT1IZQ,1
AXIALT2,17
SAGITALT1TSEIPAT2LUMB,192
AXIALOBLGRADT2CADIZQ,1
CORONALGRsacroiliacas,1
AXIALT1FSBLOQUEGD,1
SAGT2LUMBAR,489
SAGT1fsCERVICALc,1
axt1fsc,1
PosDisp6AXIALT2L5S1LUMB,1
SAGITALT1FSLUMBAR,1
AXIALDPDISCOS,1
CORONALT2DORSAL,1
CORONALT2LCADERECHA,1
AXT1BLOQUEc,1
CORONALT1FSGDLUMB,2
SAGITALT1DORSAL,1
PosDisp6AXIALT2BLOQUE,3
SAGDIFUdorsal,1
AXIALT2bloque,3
axT1LUMBAR,1
PosDisp4AXIALT2DISCOSLUMB,1
AXIALSTIRCADERAS,1
AXIALDPCADERAS,1
CORONALT1caderas,2
HASTESTIRCORONALT2DORSALMORO,2
AXIALDP,36
SAGT1fsLUMBARc,3
GRADT2COR,1
PosDisp10BLOQUEAXIALT2,1
T1SESAGARTEFACTOS,8
DIFUSIONlumbar,1
SAGT1CERVICAL,4
CORONALSSFSElumbar,1
