#;scans;Technique_of_Medical_Image;Plane;body_part;modality_label_rm;Secuence_label;calidad;modality_label_rx;modality_label_ct;modality_label_nm;modality_label_us;modality_label_light;modality_label_elec;modality_label_oph;Columna2;Contrast
1900;AXFSET2;MRI;ax;HEAD;T2w;;2D;;;;;;;;;
1424;SagT1MEMP;MRI;sag;HEAD;T1w;;2D;;;;;;;;;
1419;PILOTO3PLANOS;MRI;3pl;HEAD;;;2D;;;;;;;;;
1368;CORFLAIR;MRI;cor;HEAD;;flair;2D;;;;;;;;;
1338;DIFUSIONB1000;MRI;ax;HEAD;dwi;;2D;;;;;;;;;
1311;AXIALT23mm;MRI;ax;BRAIN;T2w;;2D;;;;;;;;;
1236;PJN;MRI;;HEAD;angio;;2D;;;;;;;;;
1185;DIFUSION;MRI;ax;BRAIN;dwi;;2D;;;;;;;;;
1141;OAxDWI1000b;MRI;ax;BRAIN;dwi;;2D;;;;;;;;;
1091;AXGRET2;MRI;ax;BRAIN;T2w;gre;2D;;;;;;;;;
1043;AxGrT2;MRI;ax;BRAIN;T2w;gre;2D;;;;;;;;;
986;AXIAL3DT1FastSPGR;MRI;ax;BRAIN;T1w;;3D;;;;;;;;;
985;SAGT1memp;MRI;sag;HEAD;T1w;;2D;;;;;;;;;
983;AXIAL3DT1FSPGR8C5CM;MRI;ax;BRAIN;T1w;;3D;;;;;;;;;
963;AXDWI1000bASSET;MRI;ax;BRAIN;dwi;;2D;;;;;;;;;
955;AXGRADIENTET2;MRI;ax;BRAIN;T2w;gre;2D;;;;;;;;;
914;SAGITALT1;MRI;sag;HEAD/CERVICAL;T1w;;2D;;;;;;;;;
913;CORT2FLAIR;MRI;cor;BRAIN;;flair;2D;;;;;;;;;
886;AXIALGRET2;MRI;ax;BRAIN/CERVICAL;T2w;gre;2D;;;;;;;;;
882;CORONALT1;MRI;cor;BRAIN/CERVICAL/PELVIS;T1w;;2D;;;;;;;;;
862;AXDPT2FRFSE2NEX;MRI;ax;BRAIN;T2w;;2D;;;;;;;;;
844;AXIALT2;MRI;ax;BRAIN/CERVICAL;T2w;;2D;;;;;;;;;
770;SAGITALT1SE;MRI;sag;;T1w;;;;;;;;;;;
741;unknown;MRI;;;;;;;;;;;;;;
725;LOC3P;MRI;3pl;;;;;;;;;;;;;
703;SAGITAL3DT1;MRI;sag;;T1w;;3D;;;;;;;;;
686;AXIALT2FLAIR3mm;MRI;ax;;;flair;;;;;;;;;;
662;AXFLAIRT2;MRI;ax;BRAIN;;flair;;;;;;;;;;
623;ExponentialApparentDiffusionCoefficient;MRI;;;dwi;;;;;;;;;;;
611;ApparentDiffusionCoefficientmm2s;MRI;;;dwi;;;;;;;;;;;
571;AXIALFLAIR;MRI;ax;;;flair;;;;;;;;;;
568;SAGITALT2FLAIR;MRI;sag;;;flair;;;;;;;;;;
566;DWI;MRI;;;dwi;;;;;;;;;;;
563;3plT2FGREXL;MRI;3pl;;T2w;gre;;;;;;;;;;
557;sag3dt1;MRI;sag;;T1w;;3D;;;;;;;;;
524;3PLANOSLOC;MRI;3pl;;;;;;;;;;;;;
512;coronalt2FLAIR;MRI;cor;;;flair;;;;;;;;;;
484;SAGSTIR;MRI;sag;;;stir;;;;;;;;;;
474;SAGITALT2;MRI;sag;;T2w;tse;;;;;;;;;;
443;3DLoc;MRI;;;;;3D;;;;;;;;;
433;CORONALT2FLAIR;MRI;cor;;;flair;;;;;;;;;;
419;AXIALT1;MRI;ax;;T1w;;;;;;;;;;;
403;3DTOF;MRI;;;;;3D;;;;;;;;;
399;CORANGIO;MRI;cor;;;;;;;;;;;;;
397;AxT2GRE;MRI;ax;;T2w;gre;;;;;;;;;;
390;AXIALGRT2;MRI;ax;;T2w;gre;;;;;;;;;;
381;Ph1CORANGIO;MRI;cor;;;;;;;;;;;;;
377;CORONALT1SE;MRI;cor;;T1w;;;;;;;;;;;
366;T2W_TSE;MRI;;;T2w;tse;;;;;;;;;;
355;GRADIENTET2AXIAL;MRI;ax;;T2w;gre;;;;;;;;;;
348;loc;MRI;;;;;;;;;;;;;;
346;DIFUSINAXIAL;MRI;ax;;dwi;;;;;;;;;;;
346;DIFUSINAXIAL_ADC;MRI;ax;;dwi;;;;;;;;;;;
343;CORONALFLAIRT2;MRI;cor;;;flair;;;;;;;;;;
333;AAHead_Scout;MRI;;;;;;;;;;;;;;
327;CORT1FLAIR;MRI;cor;;T1w;flair;;;;;;;;;;
326;SAGGR3DT1;MRI;sag;;T1w;;3D;;;;;;;;;
325;AXIALDPT2;MRI;ax;;T2w;tse;;;;;;;;;;
324;AAHead_Scout_MPR_tra;MRI;ax;;;;;;;;;;;;;
324;AAHead_Scout_MPR_cor;MRI;cor;;;;;;;;;;;;;
321;AAHead_Scout_MPR_sag;MRI;sag;;;;;;;;;;;;;
316;MPRRango;MRI;;;;;;;;;;;;;;
316;Ax3DSWAN;MRI;ax;;;;3D;;;;;;;;;
306;AXIALT2GRADIENTE;MRI;ax;;T2w;gre;;;;;;;;;;
305;EPIDIFUSIONTRA;MRI;ax;;dwi;;;;;;;;;;;
304;t2_gre_flash;MRI;;;T2w;gre;;;;;;;;;;
303;EPIDIFUSIONTRA_ADC;MRI;ax;;dwi;;;;;;;;;;;
296;AxT2FLAIR;MRI;ax;;;flair;;;;;;;;;;
296;CORONALT2FLAIRasset;MRI;cor;;;flair;;;;;;;;;;
293;MPRRango1;MRI;;;;;;;;;;;;;;
290;AxFRFSET2ASSET;MRI;ax;;T2w;tse;;;;;;;;;;
288;AXIALGRADIENTET2;MRI;ax;;T2w;gre;;;;;;;;;;
284;LOCTOF2D;MRI;;;;;;;;;;;;;;
281;CORT1SE;MRI;cor;;T1w;;;;;;;;;;;
276;AXIGET2;MRI;ax;;T2w;tse;;;;;;;;;;
275;t1_fl3d_VIBE_3D;MRI;;;T1w;flair;3D;;;;;;;;;
275;s3DI_MC_HR;MRI;;;;;3D;;;;;;;;;
273;3DFLAIRSAGITAL;MRI;sag;;;flair;3D;;;;;;;;;
268;AXFLAIRT244C;MRI;ax;;;flair;;;;;;;;;;
264;SAGITALFLAIRT2;MRI;sag;;;flair;;;;;;;;;;
259;AXDP44C;MRI;ax;;;;;;;;;;;;;
256;AXIAL3DT1NAVEGACIONVACIO;MRI;ax;;T1w;;3D;;;;;;;;;
255;SagT2frFSE;MRI;sag;;T2w;tse;;;;;;;;;;
255;CORT1memp;MRI;cor;;T1w;;;;;;;;;;;
252;resolve_3scan_trace_tra_152_p2_TRACEW;MRI;ax;;;;;;;;;;;;;
252;resolve_3scan_trace_tra_152_p2_ADC;MRI;ax;;;;;;;;;;;;;
243;AXGRE;MRI;ax;;;;;;;;;;;;;
242;AXIDPT2;MRI;ax;;T2w;tse;;;;;;;;;;
240;AXFLAIR;MRI;ax;;;flair;;;;;;;;;;
240;CORONAL;MRI;cor;;;;;;;;;;;;;
240;AXIALT1SEGD;MRI;ax;;T1w;;;;;;;;;;;
239;AxT1PERFUSION;MRI;ax;;pwi;;;;;;;;;;;
239;Reformatted;MRI;;;;;;;;;;;;;;
238;CorT2FSE;MRI;cor;;T2w;tse;;;;;;;;;;
234;CORONALFLAIR;MRI;cor;;;flair;;;;;;;;;;
